id,cidade,temperatura_atual,sensacao_termica,descricao,umidade,temperatura_min,temperatura_max,velocidade_vento,data_medicao
5,Aiuaba,29.9,29.69,nublado,41,29.9,29.9,6.08,2025-05-22 14:53:09
1,Abaiara,26.18,26.18,nublado,58,26.18,26.18,2.23,2025-05-22 15:14:15
2,Acarape,29.02,32.05,nublado,66,29.02,29.02,2.69,2025-05-22 15:10:16
3,Acaraú,28.48,32.44,nuvens dispersas,75,28.48,28.48,6.49,2025-05-22 15:10:16
4,Acopiara,28.62,29.88,nublado,56,28.62,28.62,1.14,2025-05-22 15:14:16
5,Aiuaba,31.46,30.8,nublado,35,31.46,31.46,6.08,2025-05-22 15:14:16
6,Alcântaras,29.81,33.06,nublado,63,29.81,29.81,1.7,2025-05-22 15:14:17
7,Altaneira,26.79,27.28,nublado,51,26.79,26.79,3.6,2025-05-22 15:14:17
8,Alto Santo,34.47,34.98,nuvens dispersas,35,34.47,34.47,4.6,2025-05-22 15:14:17
9,Amontada,31.08,34.52,nublado,58,31.08,31.08,3.24,2025-05-22 15:14:18
10,Antonina do Norte,29.99,29.92,nublado,42,29.99,29.99,4.93,2025-05-22 15:14:18
11,Apuiarés,30.66,34.14,nublado,60,30.66,30.66,2.77,2025-05-22 15:10:34
12,Aquiraz,30.05,36.44,algumas nuvens,75,30.05,30.05,5.06,2025-05-22 15:14:19
13,Aracati,29.66,32.38,algumas nuvens,61,29.66,29.66,5.42,2025-05-22 15:10:34
14,Aracoiaba,30.94,33.55,nublado,55,30.94,30.94,2.38,2025-05-22 15:10:35
15,Ararendá,28.92,30.19,nublado,55,28.92,28.92,2.19,2025-05-22 15:14:21
16,Araripe,27.03,27.38,nublado,49,27.03,27.03,4.14,2025-05-22 15:14:21
17,Aratuba,28.25,28.12,nublado,43,28.25,28.25,4.16,2025-05-22 15:10:36
18,Arneiroz,31.04,31.27,nublado,42,31.04,31.04,5.87,2025-05-22 15:10:36
19,Assaré,27.87,27.98,nublado,46,27.87,27.87,4.49,2025-05-22 15:14:22
20,Aurora,19.82,18.98,algumas nuvens,43,17.55,21.58,4.12,2025-05-22 15:12:53
21,Baixio,30.61,30.55,nublado,41,30.61,30.61,3.89,2025-05-22 15:10:37
22,Banabuiú,32.91,33.64,nublado,40,32.91,32.91,1.76,2025-05-22 15:10:38
23,Barbalha,27.89,29.85,nublado,65,27.89,27.89,3.6,2025-05-22 15:02:09
24,Barreira,17.67,17.48,nublado,76,17.67,17.67,7.34,2025-05-22 15:14:24
25,Barro,30.5,30.28,nublado,40,30.5,30.5,3.07,2025-05-22 15:14:24
26,Barroquinha,30.68,33.72,nuvens dispersas,58,30.68,30.68,2.96,2025-05-22 15:14:24
27,Baturité,28.37,29.41,nublado,55,28.37,28.37,2.64,2025-05-22 15:14:25
28,Beberibe,28.19,31.33,algumas nuvens,72,28.19,28.19,4.64,2025-05-22 15:14:25
29,Bela Cruz,29.25,34.32,nuvens dispersas,75,29.25,29.25,4.15,2025-05-22 15:14:25
30,Boa Viagem,30.58,31.59,nublado,48,30.58,30.58,3.29,2025-05-22 15:14:26
31,Brejo Santo,26.99,27.66,nublado,54,26.99,26.99,2.0,2025-05-22 15:10:41
32,Camocim,29.66,33.37,algumas nuvens,66,29.66,29.66,4.49,2025-05-22 15:14:26
33,Campos Sales,28.26,28.47,nublado,47,28.26,28.26,4.15,2025-05-22 15:09:36
34,Canindé,33.44,34.26,nublado,39,33.44,33.44,4.17,2025-05-22 15:14:27
35,Capistrano,17.43,17.03,nuvens dispersas,69,17.43,17.43,1.78,2025-05-22 15:10:43
36,Caridade,32.87,33.79,nublado,41,32.87,32.87,3.75,2025-05-22 15:10:43
37,Cariré,28.61,31.57,nublado,68,28.61,28.61,1.99,2025-05-22 15:14:28
38,Caririaçu,25.0,25.2,nublado,63,25.0,25.0,1.52,2025-05-22 15:14:28
39,Cariús,31.41,31.01,nublado,37,31.41,31.41,3.49,2025-05-22 15:14:29
40,Carnaubal,27.02,27.96,nuvens dispersas,58,27.02,27.02,3.34,2025-05-22 15:14:29
41,Cascavel,18.45,18.75,nublado,92,18.45,18.45,3.03,2025-05-22 15:14:29
42,Catarina,34.37,41.37,nublado,65,34.37,34.37,2.8,2025-05-22 15:14:30
43,Catunda,31.54,32.33,nublado,44,31.54,31.54,4.82,2025-05-22 15:10:46
44,Caucaia,28.91,33.47,algumas nuvens,75,28.91,29.97,7.72,2025-05-22 15:10:20
45,Cedro,30.61,30.29,nublado,39,30.61,30.61,2.97,2025-05-22 15:10:46
118,Chaval,31.16,33.97,nuvens dispersas,55,31.16,31.16,3.37,2025-05-22 15:10:47
119,Choró,32.45,32.94,nublado,40,32.45,32.45,3.31,2025-05-22 15:14:32
120,Chorozinho,28.37,32.03,nublado,74,28.37,28.37,4.11,2025-05-22 15:14:32
121,Coreaú,30.48,35.19,nublado,66,30.48,30.48,1.27,2025-05-22 15:10:48
122,Crateús,32.44,32.92,nublado,40,32.44,32.44,4.81,2025-05-22 15:10:48
123,Crato,25.73,26.19,nublado,70,25.73,25.73,1.06,2025-05-22 15:10:48
124,Croatá,29.29,30.31,nuvens dispersas,52,29.29,29.29,2.89,2025-05-22 15:14:33
125,Cruz,29.07,33.66,nuvens dispersas,74,29.07,29.07,6.01,2025-05-22 15:10:49
126,Deputado Irapuan Pinheiro,29.38,31.04,nublado,56,29.38,29.38,1.7,2025-05-22 15:14:34
127,Eusébio,29.92,33.93,algumas nuvens,66,29.92,29.92,7.72,2025-05-22 15:14:35
128,Farias Brito,26.48,26.48,nublado,54,26.48,26.48,3.14,2025-05-22 15:14:35
129,Forquilha,30.76,34.58,nublado,61,30.76,30.76,2.17,2025-05-22 15:14:36
130,Fortaleza,30.07,34.26,algumas nuvens,66,29.01,30.07,7.72,2025-05-22 15:04:47
131,Fortim,28.71,31.77,céu limpo,68,28.71,28.71,6.14,2025-05-22 15:10:52
132,Frecheirinha,31.2,33.82,nuvens dispersas,54,31.2,31.2,1.67,2025-05-22 15:14:37
133,General Sampaio,29.93,31.95,nublado,56,29.93,29.93,3.06,2025-05-22 15:14:37
134,Graça,18.82,18.4,nublado,63,18.82,18.82,4.2,2025-05-22 15:14:37
135,Granja,30.87,34.57,nuvens dispersas,60,30.87,30.87,1.5,2025-05-22 15:14:38
136,Granjeiro,27.76,28.44,nublado,53,27.76,27.76,2.74,2025-05-22 15:14:38
137,Groaíras,29.38,33.17,nublado,68,29.38,29.38,1.69,2025-05-22 15:14:38
138,Guaiúba,26.85,28.53,nuvens dispersas,69,26.85,26.85,3.08,2025-05-22 15:10:02
139,Guaraciaba do Norte,25.35,25.43,nublado,57,25.35,25.35,1.12,2025-05-22 15:10:03
140,Guaramiranga,26.38,26.38,nublado,55,26.38,26.38,2.73,2025-05-22 15:14:39
141,Hidrolândia,28.7,30.54,nublado,60,28.7,28.7,0.21,2025-05-22 15:14:40
142,Horizonte,28.31,31.89,nuvens dispersas,74,28.31,28.31,4.04,2025-05-22 15:14:40
143,Ibiapina,26.43,26.43,nuvens dispersas,56,26.43,26.43,2.92,2025-05-22 15:14:41
144,Ibicuitinga,32.56,33.1,nuvens dispersas,40,32.56,32.56,2.57,2025-05-22 15:10:56
145,Icapuí,29.0,32.54,céu limpo,69,29.0,29.0,4.74,2025-05-22 15:10:57
146,Icó,31.93,32.18,nublado,40,31.93,31.93,2.75,2025-05-22 15:10:57
147,Iguatu,31.03,31.41,nublado,43,31.03,31.03,3.27,2025-05-22 15:14:42
148,Independência,29.93,30.95,nublado,50,29.93,29.93,4.18,2025-05-22 15:14:42
149,Ipaporanga,29.49,30.75,nublado,53,29.49,29.49,2.86,2025-05-22 15:14:43
150,Ipaumirim,30.41,30.3,nublado,41,30.41,30.41,3.84,2025-05-22 15:14:43
151,Ipu,26.24,26.24,nublado,66,26.24,26.24,0.68,2025-05-22 15:10:59
152,Ipueiras,28.99,29.19,nublado,46,28.99,28.99,4.3,2025-05-22 15:14:44
153,Iracema,33.79,34.37,nuvens dispersas,37,33.79,33.79,4.19,2025-05-22 15:11:00
154,Irauçuba,31.61,33.23,nuvens dispersas,48,31.61,31.61,3.19,2025-05-22 15:14:45
155,Itaiçaba,30.94,33.78,nuvens dispersas,56,30.94,30.94,4.57,2025-05-22 15:14:45
156,Itaitinga,29.71,34.57,nuvens dispersas,71,29.71,29.71,3.67,2025-05-22 15:10:37
157,Itapajé,28.41,30.07,nuvens dispersas,60,28.41,28.41,2.76,2025-05-22 15:14:46
158,Itapipoca,30.87,33.87,nuvens dispersas,57,30.87,30.87,3.49,2025-05-22 15:14:46
159,Itapiúna,32.3,33.31,nublado,43,32.3,32.3,3.53,2025-05-22 15:14:46
160,Itarema,28.55,32.79,nuvens dispersas,76,28.55,28.55,6.25,2025-05-22 15:14:47
161,Jaguaretama,34.02,34.5,nublado,36,34.02,34.02,2.66,2025-05-22 15:14:47
162,Jaguaribara,34.51,35.04,nublado,35,34.51,34.51,4.15,2025-05-22 15:11:03
163,Jaguaribe,33.91,34.33,nuvens dispersas,36,33.91,33.91,4.42,2025-05-22 15:14:48
164,Jaguaruana,31.79,34.46,nuvens dispersas,52,31.79,31.79,4.58,2025-05-22 15:14:48
165,Jardim,32.03,30.74,céu limpo,29,32.03,32.03,2.14,2025-05-22 15:14:49
166,Jati,29.52,33.48,céu limpo,68,29.52,29.52,6.46,2025-05-22 15:14:49
167,Jijoca de Jericoacoara,28.27,32.78,nuvens dispersas,80,28.27,28.27,5.37,2025-05-22 15:14:49
168,Juazeiro do Norte,26.54,26.54,nublado,66,26.54,26.54,1.09,2025-05-22 15:10:11
169,Jucás,31.36,30.95,nublado,37,31.36,31.36,3.41,2025-05-22 15:14:50
170,Lavras da Mangabeira,30.05,29.87,nublado,41,30.05,30.05,1.51,2025-05-22 15:11:54
171,Limoeiro do Norte,34.59,35.41,algumas nuvens,36,34.59,34.59,2.95,2025-05-22 15:14:51
172,Madalena,24.25,24.09,nublado,52,22.39,24.86,3.3,2025-05-22 15:14:52
173,Maracanaú,29.81,33.69,algumas nuvens,66,28.75,29.81,7.72,2025-05-22 15:14:52
174,Maranguape,29.66,32.96,nuvens dispersas,64,28.6,29.66,3.18,2025-05-22 15:14:52
175,Marco,32.79,39.69,nublado,62,31.01,32.79,5.4,2025-05-22 15:11:08
176,Martinópole,30.0,33.66,nublado,64,30.0,30.0,1.97,2025-05-22 15:14:53
177,Massapê,29.14,33.23,nublado,71,29.14,29.14,2.43,2025-05-22 15:14:53
178,Mauriti,28.21,28.5,nublado,48,28.21,28.21,2.72,2025-05-22 15:14:54
179,Meruoca,25.11,25.37,nublado,65,25.11,25.11,2.27,2025-05-22 15:11:09
180,Milagres,27.46,28.18,nublado,54,27.46,27.46,2.64,2025-05-22 15:14:55
181,Milhã,30.36,32.13,nublado,53,30.36,30.36,0.52,2025-05-22 15:14:55
182,Miraíma,29.98,34.06,nublado,66,29.98,29.98,2.14,2025-05-22 15:14:55
183,Missão Velha,26.79,27.89,nublado,61,26.79,26.79,1.82,2025-05-22 15:14:56
184,Mombaça,27.23,31.28,algumas nuvens,89,27.23,27.23,1.54,2025-05-22 15:14:56
185,Monsenhor Tabosa,27.68,28.1,nublado,50,27.68,27.68,3.68,2025-05-22 15:14:56
186,Morada Nova,33.61,34.54,nuvens dispersas,39,33.61,33.61,2.64,2025-05-22 15:12:09
187,Moraújo,30.15,35.16,nublado,69,30.15,30.15,1.28,2025-05-22 15:14:57
188,Morrinhos,28.7,27.53,céu limpo,28,28.7,28.7,1.44,2025-05-22 15:14:26
189,Mucambo,31.41,33.53,nuvens dispersas,51,31.41,31.41,1.88,2025-05-22 15:14:58
190,Mulungu,28.09,31.12,nuvens dispersas,72,28.09,28.09,4.11,2025-05-22 15:14:58
191,Nova Olinda,26.68,27.57,nublado,58,26.68,26.68,2.72,2025-05-22 15:14:59
192,Nova Russas,29.2,31.54,nublado,61,29.2,29.2,1.49,2025-05-22 15:11:14
