cidade,temperatura_atual,sensacao_termica,descricao,umidade,temperatura_min,temperatura_max,velocidade_vento,data_medicao
Abaiara,26.85,26.62,céu limpo,37,26.85,26.85,3.32,2025-08-18 19:54:06
Acarape,21.16,21.52,céu limpo,84,21.16,21.16,1.5,2025-08-18 19:54:07
Acaraú,25.19,25.7,céu limpo,74,25.19,25.19,7.96,2025-08-18 19:54:07
Acopiara,24.14,23.34,céu limpo,28,24.14,24.14,1.46,2025-08-18 19:54:08
Aiuaba,24.95,24.31,céu limpo,31,24.95,24.95,4.73,2025-08-18 19:54:08
Alcântaras,25.07,24.81,céu limpo,45,25.07,25.07,2.04,2025-08-18 19:54:09
Altaneira,22.44,21.73,céu limpo,38,22.44,22.44,2.54,2025-08-18 19:54:09
Alto Santo,24.78,24.88,céu limpo,60,24.78,24.78,4.6,2025-08-18 19:54:10
Amontada,24.04,24.28,céu limpo,68,24.04,24.04,4.55,2025-08-18 19:51:03
Antonina do Norte,24.13,23.51,algumas nuvens,35,24.13,24.13,2.07,2025-08-18 19:54:10
Apuiarés,23.12,23.29,céu limpo,69,23.12,23.12,3.6,2025-08-18 19:54:11
Aquiraz,26.05,26.05,céu limpo,80,26.05,26.05,5.1,2025-08-18 19:51:02
Aracati,26.33,26.33,céu limpo,66,26.33,26.33,7.84,2025-08-18 19:51:30
Aracoiaba,22.46,22.82,céu limpo,79,22.46,22.46,2.46,2025-08-18 19:54:12
Ararendá,24.77,24.11,céu limpo,31,24.77,24.77,1.25,2025-08-18 19:54:13
Araripe,21.19,20.49,céu limpo,43,21.19,21.19,2.85,2025-08-18 19:54:13
Aratuba,18.96,18.66,céu limpo,67,18.96,18.96,2.78,2025-08-18 19:54:14
Arneiroz,26.24,26.24,céu limpo,28,26.24,26.24,4.17,2025-08-18 19:54:14
Assaré,22.92,22.21,céu limpo,36,22.92,22.92,2.2,2025-08-18 19:54:03
Aurora,28.09,27.74,nublado,40,25.92,30.02,5.66,2025-08-18 19:51:40
Baixio,25.04,24.44,céu limpo,32,25.04,25.04,2.39,2025-08-18 19:54:15
Banabuiú,26.68,26.19,céu limpo,29,26.68,26.68,2.95,2025-08-18 19:54:16
Barbalha,26.89,26.6,algumas nuvens,36,26.89,26.89,3.6,2025-08-18 19:54:16
Barreira,17.24,17.45,nuvens dispersas,93,17.24,17.24,4.1,2025-08-18 19:54:17
Barro,24.82,24.19,céu limpo,32,24.82,24.82,2.24,2025-08-18 19:54:17
Barroquinha,24.21,24.54,céu limpo,71,24.21,24.21,2.85,2025-08-18 19:54:18
Baturité,19.97,20.09,céu limpo,79,19.97,19.97,2.31,2025-08-18 19:54:18
Beberibe,25.43,26.07,céu limpo,78,25.43,25.43,6.04,2025-08-18 19:54:18
Bela Cruz,23.87,24.17,céu limpo,71,23.87,23.87,5.05,2025-08-18 19:52:02
Boa Viagem,23.67,23.01,céu limpo,35,23.67,23.67,0.59,2025-08-18 19:54:19
Brejo Santo,24.21,23.68,céu limpo,38,24.21,24.21,4.07,2025-08-18 19:54:20
Camocim,25.34,25.76,céu limpo,70,25.34,25.34,6.92,2025-08-18 19:52:02
Campos Sales,22.62,21.93,céu limpo,38,22.62,22.62,3.91,2025-08-18 19:54:21
Canindé,24.41,24.0,céu limpo,42,24.41,24.41,1.12,2025-08-18 19:54:21
Capistrano,19.43,19.41,chuva leve,76,19.43,19.43,1.22,2025-08-18 19:49:42
Caridade,23.57,23.52,céu limpo,59,23.57,23.57,1.83,2025-08-18 19:54:22
Cariré,27.15,26.55,céu limpo,31,27.15,27.15,1.94,2025-08-18 19:54:22
Caririaçu,25.05,24.55,algumas nuvens,36,25.05,25.05,3.6,2025-08-18 19:52:03
Cariús,25.22,24.53,céu limpo,28,25.22,25.22,2.38,2025-08-18 19:54:23
Carnaubal,22.31,21.51,céu limpo,35,22.31,22.31,2.1,2025-08-18 19:54:24
Cascavel,23.78,23.21,céu limpo,38,23.78,23.78,4.12,2025-08-18 19:54:24
Catarina,30.59,37.59,chuva moderada,82,30.59,30.59,1.35,2025-08-18 19:54:25
Catunda,25.79,25.29,céu limpo,33,25.79,25.79,2.53,2025-08-18 19:54:25
Caucaia,26.69,28.34,algumas nuvens,70,25.97,26.69,4.12,2025-08-18 19:54:26
Cedro,25.03,24.35,céu limpo,29,25.03,25.03,2.46,2025-08-18 19:54:26
Chaval,24.36,24.78,céu limpo,74,24.36,24.36,2.88,2025-08-18 19:54:27
